  n_jobs  ThreadTime(sec)ProcessTime(sec)
    1          0.4381      0.5134  
    2          0.4285      0.3077  
    3          0.4231      0.2268  
    4          0.4241      0.1899  
    5          0.4240      0.1681  
    6          0.4186      0.1588  
    7          0.4192      0.1492  
    8          0.4218      0.1451  
    9          0.4266      0.1452  
    10         0.4261      0.1384  
    11         0.4239      0.1392  
    12         0.4227      0.1436  
    13         0.4257      0.1556  
    14         0.4232      0.1626  
    15         0.4249      0.1606  
    16         0.4234      0.1647  
    17         0.4254      0.1656  
    18         0.4274      0.1729  
    19         0.4259      0.1808  
    20         0.4258      0.1889  
    21         0.4236      0.1963  
    22         0.4278      0.1994  
    23         0.4254      0.2018  
    24         0.4273      0.2126  
    25         0.4258      0.2222  
    26         0.4289      0.2252  
    27         0.4272      0.2345  
    28         0.4273      0.2374  
    29         0.4290      0.2463  
    30         0.4276      0.2496  
    31         0.4306      0.2620  
    32         0.4297      0.2768  
